code_passage,mnemo_passage,val_prof_passage,code_unite_prof_passage,libelle_unite_prof_passage,uri_unite_prof_passage,code_lieusurv,libelle_lieusurv,mnemo_lieusurv,code_prel,mnemo_prel,date_prel,ecartu_prel,code_niveau_prel,libelle_niveau_prel,code_engin_prel,libelle_engin_prel,coordonnee_x_prel,coordonnee_y_prel,code_projection,type_acquisition_coord,code_producteur,nom_producteur,uri_producteur,commentaire_prel,code_echantillon,mnemo_echantillon,code_taxon_echantillon,nomlatin_taxon_echantillon,uri_taxon_echantillon,code_analyse,code_support,libelle_support,uri_support,code_fraction,libelle_fraction,uri_fraction,code_organisme_analyste,nom_organisme_analyste,uri_organisme_analyste,codes_reseaux,noms_reseaux,uri_reseaux,date_controle_analyse,date_qualification_resultat,code_qualification_analyse,libelle_qualification_analyse,commentaire_qualification_resultat,date_validation_analyse,commentaire_analyse,code_parametre,libelle_parametre,uri_parametre,resultat_analyse,code_unite_resultat,libelle_unite_resultat,uri_unite_resultat,code_methode,libelle_methode,uri_methode,longitude,latitude,result_ug_per_kg_dw
60754332,19-12,12.6,,,,2003503,Le Portel,002-P-035,61868293,DCE AEAP,7/25/19 10:25,2.0,27.0,Horizon 2,100.0,Car.micro-reineck,1.555826432,50.70296406,31.0,3.0,1850,UnitÃ© de recherche BiogÃ©ochimie et Ã©cotoxicologie (IFREMER),https://id.eaufrance.fr/int/1850,,60944149.0,DCE AEAP,,,,71477667,6,Sédiments,https://id.eaufrance.fr/sup/6,36,Fraction totale de sédiments,https://id.eaufrance.fr/fan/36,1850.0,UnitÃ© de recherche BiogÃ©ochimie et Ã©cotoxicologie (IFREMER),https://id.eaufrance.fr/int/1850,105,RÃ©seau d'Observation de la Contamination Chimique du milieu marin (ROCCH) - Volet SÃ©diments,https://id.eaufrance.fr/dc/0000000105,9/14/20 2:00,1/1/00 1:00,0,Non qualifiÃ©,,9/15/20 2:00,,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,2.28,458,nanogramme par gramme de matière sèche,https://id.eaufrance.fr/urf/458,1319,PFE-GC-MSMS,https://id.eaufrance.fr/met/1319,1.555826432,50.70296406,2.28
60754331,19-11,4.4,,,,2003601,Chenal RoRo (Boulogne),002-P-037,61868292,DCE AEAP,7/25/19 9:38,2.0,27.0,Horizon 2,100.0,Car.micro-reineck,1.568659242,50.73096501,31.0,2.0,1850,UnitÃ© de recherche BiogÃ©ochimie et Ã©cotoxicologie (IFREMER),https://id.eaufrance.fr/int/1850,,60944148.0,DCE AEAP,,,,71478808,6,Sédiments,https://id.eaufrance.fr/sup/6,36,Fraction totale de sédiments,https://id.eaufrance.fr/fan/36,1850.0,UnitÃ© de recherche BiogÃ©ochimie et Ã©cotoxicologie (IFREMER),https://id.eaufrance.fr/int/1850,105,RÃ©seau d'Observation de la Contamination Chimique du milieu marin (ROCCH) - Volet SÃ©diments,https://id.eaufrance.fr/dc/0000000105,9/14/20 2:00,1/1/00 1:00,0,Non qualifiÃ©,,9/15/20 2:00,,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,26.5,458,nanogramme par gramme de matière sèche,https://id.eaufrance.fr/urf/458,1319,PFE-GC-MSMS,https://id.eaufrance.fr/met/1319,1.568659242,50.73096501,26.5
60883389,,,,,,2003610,62160aC1s3-Boulogne/Mer-Séd-avant port,002-P-046,62098764,,4/13/22 2:00,,,,274.0,Ben.Van Ven,1.591993155,50.72813187,31.0,2.0,30383,Service Maritime des Ports de Boulogne et Calais,https://id.eaufrance.fr/int/30383,Issu de la reprise QUADRILABO du 23/10/2024,61078154.0,22I009192-002,,,,73897417,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,17620600000000.0,Service Maritime des Ports de Boulogne et Calais,https://id.eaufrance.fr/int/17620620900015,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,10/23/24 2:00,1/1/00 1:00,0,Non qualifiÃ©,,10/23/24 2:00,Issu de la reprise QUADRILABO du 23/10/2024,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,90.0,132,microgramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/132,450,CaractÃ©risation des boues - Dosage des hydrocarbures aromatiques polycycliques (HAP) et des polychlorobiphÃ©nyles (PCB). (XP X33-012 Mars 2000),https://id.eaufrance.fr/met/450,1.591993155,50.72813187,90.0
60883390,,,,,,2003611,62160aP1s4-Boulogne/Mer-Séd-chenal port,002-P-047,62098765,,4/13/22 2:00,,,,274.0,Ben.Van Ven,1.587492969,50.73129857,31.0,2.0,30383,Service Maritime des Ports de Boulogne et Calais,https://id.eaufrance.fr/int/30383,Issu de la reprise QUADRILABO du 23/10/2024,61078156.0,22I009192-001,,,,73897547,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,17620600000000.0,Service Maritime des Ports de Boulogne et Calais,https://id.eaufrance.fr/int/17620620900015,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,10/23/24 2:00,1/1/00 1:00,0,Non qualifiÃ©,,10/23/24 2:00,Issu de la reprise QUADRILABO du 23/10/2024,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,30.0,132,microgramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/132,450,CaractÃ©risation des boues - Dosage des hydrocarbures aromatiques polycycliques (HAP) et des polychlorobiphÃ©nyles (PCB). (XP X33-012 Mars 2000),https://id.eaufrance.fr/met/450,1.587492969,50.73129857,30.0
60754333,19-13,11.0,,,,2004501,Le Touquet-Paris-Plage,004-P-009,61868294,DCE AEAP,7/25/19 11:51,2.0,27.0,Horizon 2,100.0,Car.micro-reineck,1.551664349,50.53829266,31.0,3.0,1850,UnitÃ© de recherche BiogÃ©ochimie et Ã©cotoxicologie (IFREMER),https://id.eaufrance.fr/int/1850,,60944150.0,DCE AEAP,,,,71477703,6,Sédiments,https://id.eaufrance.fr/sup/6,36,Fraction totale de sédiments,https://id.eaufrance.fr/fan/36,1850.0,UnitÃ© de recherche BiogÃ©ochimie et Ã©cotoxicologie (IFREMER),https://id.eaufrance.fr/int/1850,105,RÃ©seau d'Observation de la Contamination Chimique du milieu marin (ROCCH) - Volet SÃ©diments,https://id.eaufrance.fr/dc/0000000105,9/14/20 2:00,1/1/00 1:00,0,Non qualifiÃ©,,9/15/20 2:00,,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,1.98,458,nanogramme par gramme de matière sèche,https://id.eaufrance.fr/urf/458,1319,PFE-GC-MSMS,https://id.eaufrance.fr/met/1319,1.551664349,50.53829266,1.98
60826504,,,,,,21042609,29037aV1e1-Combrit Saint Marine Eau 1 Po,046-P-022,62007215,,6/19/20 2:00,,,,60000500.0,Ben. Eckman25cm,-4.119207378,47.87782215,31.0,2.0,1432,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,Issu de la reprise QUADRILABO du 05/05/2023,61031703.0,Combrit plaisance,,,,73013590,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,1432.0,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,5/5/23 2:00,1/1/00 1:00,0,Non qualifiÃ©,,5/5/23 2:00,Issu de la reprise QUADRILABO du 05/05/2023,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,0.22,160,milligramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/160,405,DÃ©termination de certains micropolluants organiques par chromatographie en phase gazeuse double spectromÃ©trie de masse (GC/MS/MS),https://id.eaufrance.fr/met/405,-4.119207378,47.87782215,220.0
60895612,,,,,,21042609,29037aV1e1-Combrit Saint Marine Eau 1 Po,046-P-022,62123514,,7/18/23 2:00,,,,60000500.0,Ben. Eckman25cm,-4.119207378,47.87782215,31.0,2.0,1432,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,Issu de la reprise QUADRILABO du 07/05/2025,61094457.0,Combrit plaisance,,,,74113923,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,1432.0,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,5/7/25 2:00,1/1/00 1:00,0,Non qualifiÃ©,,5/7/25 2:00,Issu de la reprise QUADRILABO du 07/05/2025,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,305.96,132,microgramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/132,405,DÃ©termination de certains micropolluants organiques par chromatographie en phase gazeuse double spectromÃ©trie de masse (GC/MS/MS),https://id.eaufrance.fr/met/405,-4.119207378,47.87782215,305.96
60677262,,,,,,21042611,29006aV1s1-Bénodet Penfoul Sédiment 1 Pe,046-P-023,61685789,,9/7/17 2:00,,,,60000500.0,Ben. Eckman25cm,-4.11704077,47.88148893,31.0,2.0,1432,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,Issu de la reprise QUADRILABO du 13/11/2018,60756562.0,Roscoff commerce,,,,69678885,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,1432.0,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,11/13/18 1:00,1/1/00 1:00,0,Non qualifiÃ©,,11/13/18 1:00,Issu de la reprise QUADRILABO du 13/11/2018,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,0.16,160,milligramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/160,405,DÃ©termination de certains micropolluants organiques par chromatographie en phase gazeuse double spectromÃ©trie de masse (GC/MS/MS),https://id.eaufrance.fr/met/405,-4.11704077,47.88148893,160.0
60826560,,,,,,21042611,29006aV1s1-Bénodet Penfoul Sédiment 1 Pe,046-P-023,62007283,,6/22/20 2:00,,,,60000500.0,Ben. Eckman25cm,-4.11704077,47.88148893,31.0,2.0,1432,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,Issu de la reprise QUADRILABO du 05/05/2023,61031774.0,BÃ©nodet plaisance,,,,73015249,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,1432.0,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,5/5/23 2:00,1/1/00 1:00,0,Non qualifiÃ©,,5/5/23 2:00,Issu de la reprise QUADRILABO du 05/05/2023,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,0.14,160,milligramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/160,405,DÃ©termination de certains micropolluants organiques par chromatographie en phase gazeuse double spectromÃ©trie de masse (GC/MS/MS),https://id.eaufrance.fr/met/405,-4.11704077,47.88148893,140.0
60895611,,,,,,21042611,29006aV1s1-Bénodet Penfoul Sédiment 1 Pe,046-P-023,62123513,,9/12/23 2:00,,,,60000500.0,Ben. Eckman25cm,-4.11704077,47.88148893,31.0,2.0,1432,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,Issu de la reprise QUADRILABO du 07/05/2025,61094455.0,BÃ©nodet plaisance,,,,74113819,6,Sédiments,https://id.eaufrance.fr/sup/6,32,Particule < 2 mm de sédiments,https://id.eaufrance.fr/fan/32,1432.0,Cellule de QualitÃ© des Eaux Littorales du FinistÃ¨re,https://id.eaufrance.fr/int/1432,119,RÃ©seau national de surveillance de la qualitÃ© des sÃ©diments dans les ports maritimes,https://id.eaufrance.fr/dc/0000000119,5/7/25 2:00,1/1/00 1:00,0,Non qualifiÃ©,,5/7/25 2:00,Issu de la reprise QUADRILABO du 07/05/2025,1115,Benzo(a)pyrène,https://id.eaufrance.fr/par/1115,96.0,132,microgramme par kilogramme de matière sèche,https://id.eaufrance.fr/urf/132,405,DÃ©termination de certains micropolluants organiques par chromatographie en phase gazeuse double spectromÃ©trie de masse (GC/MS/MS),https://id.eaufrance.fr/met/405,-4.11704077,47.88148893,96.0
